,Air ground truth count,Air Flow (ln/min),Air Flow (ln/min) STD,Air Flow (ln/min) STUNC,Air Pressure outlet (bar(a)),Air Pressure outlet (bar(a)) STD,Air Pressure outlet (bar(a)) STUNC,Air Temperature (°C),Air Temperature (°C) STD,Air Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,Air Vol. fraction,Air Vol. fraction COMB-UNC
2024-08-15 15:12:53,32,1.6986624562500003,0.0004890623804366153,8.645483140749145e-05,1.14139691875,0.008569924721740051,0.0015149629712501566,24.285449875,0.0028370440221002044,0.000501523266637953,1.6986624562500003,8.645483140749145e-05,1,7.197756956321368e-05
2024-08-15 15:12:54,32,1.69922455,9.194821006050825e-05,1.6254300712937628e-05,1.1269040312499998,0.002311715416083535,0.00040865741172153717,24.285254375,0.002612189193633878,0.00046177417314018364,1.69922455,1.6254300712937628e-05,1,1.352796633919105e-05
2024-08-15 15:12:55,34,1.6993299470588237,8.720392133994085e-05,1.4955349128678489e-05,1.120807888235294,0.0014304086115872576,0.00024531305306287515,24.28492729411764,0.0018267034435266853,0.0003132770560397753,1.6993299470588237,1.4955349128678489e-05,1,1.2446115955531761e-05
2024-08-15 15:12:56,32,1.6994796187500005,6.734614286158918e-05,1.1905228576046927e-05,1.1172032125,0.0007717621532355285,0.0001364295630039934,24.284961624999994,0.002411628298474896,0.00042631968088824356,1.6994796187500005,1.1905228576046927e-05,1,9.906877099109247e-06
2024-08-15 15:12:57,32,1.6996317812500001,3.0399303034754934e-05,5.373888329805001e-06,1.115415725,0.0003250403841576294,5.745956494933504e-05,24.284668625000002,0.0022255537400842633,0.00039342603537716636,1.6996317812500001,5.373888329805001e-06,1,4.471454254108743e-06
2024-08-15 15:12:58,32,1.6996550124999998,1.9614684125248136e-05,3.46741903894877e-06,1.1146887875,0.0001700470243785633,3.0060351014669063e-05,24.28379,0.0021249663840487007,0.0003756445349885734,1.6996550124999998,3.46741903894877e-06,1,2.8850978552990523e-06
2024-08-15 15:12:59,32,1.69963915,2.3085926448800776e-05,4.081053785480225e-06,1.1142794,0.00011361423619717484,2.0084349213588107e-05,24.28496175,0.003118687469647732,0.0005513112645473565,1.69963915,4.081053785480225e-06,1,3.3957099730258582e-06
2024-08-15 15:13:00,32,1.69968685625,3.1123195396146176e-05,5.501855629202224e-06,1.113873075,0.00010565806168958132,1.867788297693238e-05,24.2849615,0.0028450913517855426,0.0005029458469856896,1.69968685625,5.501855629202224e-06,1,4.577783737295722e-06
2024-08-15 15:13:01,32,1.69974405625,2.1599443472754583e-05,3.818278237360069e-06,1.1136247499999998,4.968726194912406e-05,8.783549965704483e-06,24.28701225,0.0021888546319937655,0.0003869384883285941,1.69974405625,3.818278237360069e-06,1,3.1768670396776657e-06
2024-08-15 15:13:02,32,1.6997527375,1.558036691911149e-05,2.754245775469573e-06,1.1135166125,2.250611398410956e-05,3.978556454080314e-06,24.285254812500003,0.0019737610533786805,0.000348914956321492,1.6997527375,2.754245775469573e-06,1,2.291563733856244e-06
2024-08-15 15:13:03,32,1.6997856,1.7456040024374027e-05,3.085821068474665e-06,1.11351495,1.5076560173530806e-05,2.665184483917666e-06,24.286035812500003,0.002384379170595504,0.00042150267011200915,1.6997856,3.085821068474665e-06,1,2.567388502463785e-06
2024-08-15 15:13:04,32,1.6998179437499998,2.5268609478942575e-05,4.466901278428742e-06,1.1135622875,1.746916807789382e-05,3.088141802391571e-06,24.2858405625,0.0021699722876498393,0.0003836005298960217,1.6998179437499998,4.466901278428742e-06,1,3.7163699753629245e-06
2024-08-15 15:13:05,32,1.699838475,1.3767715859900133e-05,2.4338113114962405e-06,1.1136419999999998,2.3369695476552826e-05,4.131217536433772e-06,24.287207499999997,0.002297585080035249,0.0004061594976114902,1.699838475,2.4338113114962405e-06,1,2.024856488187816e-06
2024-08-15 15:13:06,32,1.69985571875,9.698124818742433e-06,1.7144024560315827e-06,1.1137175562500001,2.3190859370309272e-05,4.099603480572318e-06,24.287012375000003,0.0030037591087388473,0.0005309946087100248,1.69985571875,1.7144024560315827e-06,1,1.4263158796021245e-06
2024-08-15 15:13:07,32,1.6998557937499996,2.185328255281435e-05,3.863151071070173e-06,1.113820875,3.134686587207698e-05,5.541395356772698e-06,24.2869144375,0.0023433167652924334,0.00041424379380160123,1.6998557937499996,3.863151071070173e-06,1,3.2139906563198067e-06
2024-08-15 15:13:08,32,1.699887625,1.4644748774429195e-05,2.588850291793066e-06,1.1139164125,2.5473931119251666e-05,4.503197359475467e-06,24.287695562499998,0.002668145047749559,0.0004716658641132544,1.699887625,2.588850291793066e-06,1,2.1537818969693945e-06
