TimeStamp,123M04971901FD: Flow (ln/min),123M04971901FD: Pressure outlet (bar(a)),123M04971901FD: Temperature (°C),123M05180215PI: Flow (ln/min),123M05180215PI: Pressure outlet (bar(a)),123M05180215PI: Temperature (°C)
2024-08-15 15:00:00.405,,,,0,1.0046319,25.298439
2024-08-15 15:00:00.407,1.7002473,1.0024836,23.640625,,,
2024-08-15 15:00:00.457,1.7002239,1.0024949,23.642189,,,
2024-08-15 15:00:00.466,,,,0,1.0046492,25.298439
2024-08-15 15:00:00.526,,,,0,1.0046623,25.29375
2024-08-15 15:00:00.528,1.7002482,1.0025133,23.639063,,,
2024-08-15 15:00:00.584,,,,0,1.0046746,25.29375
2024-08-15 15:00:00.589,1.700227,1.0025269,23.643751,,,
2024-08-15 15:00:00.642,1.7002531,1.0025444,23.642189,,,
2024-08-15 15:00:00.650,,,,0,1.0046898,25.298439
2024-08-15 15:00:00.705,1.7002547,1.0025566,23.6375,,,
2024-08-15 15:00:00.714,,,,0,1.0047044,25.295313
2024-08-15 15:00:00.767,1.7002139,1.0025717,23.639063,,,
2024-08-15 15:00:00.777,,,,0,1.0047139,25.295313
2024-08-15 15:00:00.828,1.7002168,1.0025854,23.642189,,,
2024-08-15 15:00:00.837,,,,0,1.0047334,25.295313
2024-08-15 15:00:00.897,,,,0,1.0047462,25.295313
2024-08-15 15:00:00.899,1.7002184,1.002603,23.639063,,,
2024-08-15 15:00:00.960,,,,0,1.0047647,25.29375
2024-08-15 15:00:00.962,1.7002385,1.0026139,23.640625,,,
2024-08-15 15:00:01.021,,,,0,1.0047749,25.300001
2024-08-15 15:00:01.023,1.7002242,1.0026242,23.643751,,,
2024-08-15 15:00:01.081,,,,0,1.0047824,25.29375
2024-08-15 15:00:01.082,1.7002397,1.002633,23.639063,,,
2024-08-15 15:00:01.145,,,,0,1.0047915,25.296875
2024-08-15 15:00:01.148,1.7002254,1.0026445,23.6375,,,
2024-08-15 15:00:01.207,,,,0,1.0047992,25.300001
2024-08-15 15:00:01.209,1.7002228,1.0026588,23.646875,,,
2024-08-15 15:00:01.266,,,,0,1.0048089,25.295313
2024-08-15 15:00:01.270,1.7002218,1.0026722,23.646875,,,
2024-08-15 15:00:01.329,,,,0,1.0048178,25.296875
2024-08-15 15:00:01.331,1.7002279,1.0026835,23.643751,,,
2024-08-15 15:00:01.384,1.7002311,1.0026898,23.645313,,,
2024-08-15 15:00:01.391,,,,0,1.0048267,25.301563
2024-08-15 15:00:01.447,1.7002217,1.002698,23.645313,,,
2024-08-15 15:00:01.454,,,,0,1.0048355,25.298439
2024-08-15 15:00:01.516,,,,0,1.0048456,25.295313
2024-08-15 15:00:01.520,1.7002095,1.0027113,23.645313,,,
2024-08-15 15:00:01.580,,,,0,1.0048519,25.298439
2024-08-15 15:00:01.582,1.7002172,1.0027171,23.645313,,,
2024-08-15 15:00:01.642,,,,0,1.0048583,25.298439
2024-08-15 15:00:01.645,1.7002267,1.0027282,23.648438,,,
2024-08-15 15:00:01.698,1.7002292,1.0027382,23.645313,,,
2024-08-15 15:00:01.707,,,,0,1.0048717,25.300001
2024-08-15 15:00:01.765,,,,0,1.0048821,25.298439
2024-08-15 15:00:01.768,1.7001725,1.0027478,23.642189,,,
2024-08-15 15:00:01.822,1.7001809,1.0027539,23.640625,,,
2024-08-15 15:00:01.831,,,,0,1.0048919,25.298439
2024-08-15 15:00:01.882,1.70021,1.0027674,23.635939,,,
2024-08-15 15:00:01.891,,,,0,1.0048985,25.303125
2024-08-15 15:00:01.949,,,,0,1.0049044,25.295313
2024-08-15 15:00:01.953,1.7001953,1.0027772,23.642189,,,
2024-08-15 15:00:02.017,,,,0,1.0049118,25.298439
2024-08-15 15:00:02.020,1.7002115,1.0027878,23.635939,,,
2024-08-15 15:00:02.069,1.7002103,1.0027959,23.6375,,,
2024-08-15 15:00:02.078,,,,0,1.0049231,25.298439
2024-08-15 15:00:02.132,1.7002115,1.0028036,23.645313,,,
2024-08-15 15:00:02.142,,,,0,1.0049303,25.292189
2024-08-15 15:00:02.193,1.7002254,1.002817,23.648438,,,
2024-08-15 15:00:02.203,,,,0,1.0049359,25.296875
2024-08-15 15:00:02.260,1.7002144,1.0028282,23.640625,,,
2024-08-15 15:00:02.268,,,,0,1.0049436,25.296875
2024-08-15 15:00:02.320,1.7002071,1.0028304,23.642189,,,
2024-08-15 15:00:02.328,,,,0,1.0049458,25.301563
2024-08-15 15:00:02.398,1.7002188,1.0028384,23.643751,,,
2024-08-15 15:00:02.404,,,,0,1.0049576,25.295313
2024-08-15 15:00:02.433,,,,0,1.0049605,25.290627
2024-08-15 15:00:02.436,1.700199,1.0028409,23.639063,,,
2024-08-15 15:00:02.493,1.7001975,1.0028422,23.642189,,,
2024-08-15 15:00:02.500,,,,0,1.004971,25.290627
2024-08-15 15:00:02.561,,,,0,1.0049801,25.296875
2024-08-15 15:00:02.565,1.7001892,1.0028486,23.639063,,,
2024-08-15 15:00:02.616,1.7002052,1.0028521,23.640625,,,
2024-08-15 15:00:02.622,,,,0,1.0049816,25.298439
2024-08-15 15:00:02.684,,,,0,1.0049878,25.295313
2024-08-15 15:00:02.686,1.7002054,1.002861,23.642189,,,
2024-08-15 15:00:02.741,1.7001853,1.0028656,23.645313,,,
2024-08-15 15:00:02.748,,,,0,1.0049973,25.301563
2024-08-15 15:00:02.810,,,,0,1.0050068,25.300001
2024-08-15 15:00:02.812,1.7001961,1.0028701,23.6375,,,
2024-08-15 15:00:02.866,1.7002093,1.0028752,23.640625,,,
2024-08-15 15:00:02.873,,,,0,1.0050114,25.296875
2024-08-15 15:00:02.932,,,,0,1.0050141,25.296875
2024-08-15 15:00:02.936,1.7002087,1.0028764,23.642189,,,
2024-08-15 15:00:02.996,,,,0,1.0050215,25.29375
2024-08-15 15:00:02.998,1.7002125,1.0028894,23.635939,,,
2024-08-15 15:00:03.053,1.7002054,1.0028899,23.650002,,,
2024-08-15 15:00:03.060,,,,0,1.0050232,25.296875
2024-08-15 15:00:03.117,1.7002127,1.0028875,23.639063,,,
2024-08-15 15:00:03.125,,,,0,1.0050302,25.29375
2024-08-15 15:00:03.178,1.7002254,1.0028892,23.639063,,,
2024-08-15 15:00:03.185,,,,0,1.0050336,25.296875
